index,mci,longitude,latitude
5601,Assault,-79.55804759,43.69303694
5106,Assault,-79.2928935,43.73765905
5373,Assault,-79.50952588,43.73912709
5512,Assault,-79.51167366,43.76604191
5706,Assault,-79.52683332,43.77430327
5967,Assault,-79.40772294,43.65648196
5602,Assault,-79.24520876,43.79253403
5107,Assault,-79.35622818,43.67337415
5374,Assault,-79.39364004,43.64576293
5707,Assault,-79.58923261,43.74109384
5513,Assault,-79.5873047,43.68951638
5108,Assault,-79.38095933,43.66572255
5968,Assault,-79.56434726,43.75138256
5603,Assault,-79.29656947,43.69505161
5375,Assault,-79.38801841,43.66997441
5514,Assault,-79.27143156,43.79919575
5708,Assault,-79.39664271,43.69830121
5969,Assault,-79.42012381,43.64596673
5109,Assault,-79.30165742,43.68932123
5604,Assault,-79.58321389,43.73298773
5515,Assault,-79.20021676,43.76528071
5376,Assault,-79.39037937,43.65450338
5709,Assault,-79.43479873,43.737762
5970,Assault,-79.39128169,43.6401131
5605,Assault,-79.44041154,43.68329489
5110,Assault,-79.38880509,43.64850707
5377,Assault,-79.35749335,43.75349324
5516,Assault,-79.51475833,43.60921234
5710,Assault,-79.48197206,43.62198323
5971,Assault,-79.57466032,43.7281397
5606,Assault,-79.29684868,43.68883719
5111,Assault,-79.39488847,43.64507814
5517,Assault,-79.41267075,43.76839412
5711,Assault,-79.38171825,43.65189377
5378,Assault,-79.34722981,43.76175187
5112,Assault,-79.39488847,43.64507814
5607,Assault,-79.22516266,43.74179273
5518,Assault,-79.38378781,43.65701035
5712,Assault,-79.27916934,43.72480678
5379,Assault,-79.48876251,43.75451247
5113,Assault,-79.26071022,43.78679802
5608,Assault,-79.3928924,43.67164557
5519,Assault,-79.26493164,43.72512065
5380,Assault,-79.47112402,43.67178146
5713,Assault,-79.43113211,43.66079092
5114,Assault,-79.41183984,43.76219953
5609,Assault,-79.61427444,43.732189
5520,Assault,-79.21099598,43.77352424
5381,Assault,-79.42375839,43.64897474
5714,Assault,-79.37493287,43.66432945
5115,Assault,-79.17982354,43.78864362
5610,Assault,-79.51771102,43.72333124
5521,Assault,-79.20440557,43.7513852
5382,Assault,-79.43451699,43.64102596
5715,Assault,-79.40204986,43.6611661
5611,Assault,-79.41813486,43.79025273
5116,Assault,-79.50052088,43.76224099
5612,Assault,-79.41813486,43.79025273
5117,Assault,-79.25683856,43.73480705
5383,Assault,-79.55039323,43.66724505
5716,Assault,-79.28454782,43.77657521
5522,Assault,-79.27158686,43.7104756
5384,Assault,-79.43986328,43.63995117
5523,Assault,-79.55805779,43.759999
5717,Assault,-79.48807473,43.64773282
5613,Assault,-79.38092641,43.65632878
5118,Assault,-79.39146079,43.65433338
5385,Assault,-79.40772294,43.65648196
5524,Assault,-79.27282516,43.7310863
5718,Assault,-79.4008108,43.65785827
5614,Assault,-79.50000423,43.7610632
5119,Assault,-79.42411909,43.78563973
5386,Assault,-79.37428936,43.65350197
5525,Assault,-79.57743723,43.73141176
5719,Assault,-79.27697125,43.7666727
5615,Assault,-79.37276171,43.6556083
5120,Assault,-79.3321493,43.80721206
5387,Assault,-79.37428936,43.65350197
5526,Assault,-79.37913497,43.64598706
5720,Assault,-79.27697125,43.7666727
5121,Assault,-79.29771135,43.69110194
5616,Assault,-79.53822885,43.7337468
5388,Assault,-79.21721016,43.80428883
5527,Assault,-79.36807851,43.65522736
