id,listing_url,longitude,latitude,guest_num,room_type,price,instant_bookable,bedrooms,beds,bathrooms,superhost,pet_allowed,event_allowed,smoking_allowed,Free_parking,Family_kid_friendly,Washer,Hangers,Lock_on_bedroom_door,Wireless_Internet,Laptop_friendly_workspace,TV,Shampoo,Self_Check_in,Heating,Hair_dryer,Indoor_fireplace,Dryer,Iron,Breakfast,Doorman,Buzzer_wireless_intercom,Air_conditioning,Pool,Kitchen,crime_count
17558932,https://www.airbnb.com/rooms/17558932,-79.40955355836981,43.71028778328125,6,Entire home/apt,250.0,f,3,3,2.0,f,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0
2154933,https://www.airbnb.com/rooms/2154933,-79.40058047192228,43.705927914666866,5,Entire home/apt,100.0,f,1,3,1.0,f,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,9
17752462,https://www.airbnb.com/rooms/17752462,-79.39731684743309,43.701312122465104,2,Private room,51.0,t,1,1,1.0,f,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
10608713,https://www.airbnb.com/rooms/10608713,-79.40193196952976,43.70547466918867,2,Entire home/apt,50.0,f,1,1,1.0,f,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,7
13786132,https://www.airbnb.com/rooms/13786132,-79.40611361798476,43.705784919256324,4,Private room,99.0,f,1,2,0.5,f,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4
14833169,https://www.airbnb.com/rooms/14833169,-79.40157083858523,43.70990143512022,4,Entire home/apt,135.0,f,1,2,1.0,f,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,7
14962575,https://www.airbnb.com/rooms/14962575,-79.39842859406438,43.70661247278065,2,Entire home/apt,100.0,f,1,1,1.0,f,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,32
5624649,https://www.airbnb.com/rooms/5624649,-79.39699692757192,43.69640488862981,2,Entire home/apt,128.0,f,1,1,1.0,f,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,6
14077200,https://www.airbnb.com/rooms/14077200,-79.4046781694927,43.705571874694776,6,Entire home/apt,219.0,f,2,3,1.0,f,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7
15452504,https://www.airbnb.com/rooms/15452504,-79.40663173312552,43.711416106189965,3,Entire home/apt,76.0,f,1,1,1.0,f,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,3
13290213,https://www.airbnb.com/rooms/13290213,-79.40510799865218,43.7108208296067,2,Private room,80.0,f,1,1,1.0,f,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1
18699497,https://www.airbnb.com/rooms/18699497,-79.40012412827895,43.70414897502245,5,Entire home/apt,241.0,f,2,3,2.0,f,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1
5749444,https://www.airbnb.com/rooms/5749444,-79.40246579508938,43.70912642058691,2,Private room,50.0,f,1,1,1.0,f,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
17513458,https://www.airbnb.com/rooms/17513458,-79.39990170255808,43.709991813035145,6,Entire home/apt,159.0,f,3,3,1.0,f,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,6
17021914,https://www.airbnb.com/rooms/17021914,-79.40197345487816,43.703142527309865,1,Private room,80.0,t,1,1,1.0,f,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
